category_id;slug;name;subtitle;description;image;banner_image;gallery_images;gold_weight;gold_karat;stones_json
1;YZK-180012;YZK-180012;Pırlanta Yüzük;;/images/products/yuzuk12.jpg;;;9.05;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""3.13"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
1;YZK-180013;YZK-180013;Pırlanta Yüzük;;/images/products/yuzuk13.jpg;;;2.11;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""1.01"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}, {""stone_type"": ""Pırlanta"", ""carat"": ""0.15"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
1;YZK-140014;YZK-140014;Pırlanta Yüzük;;/images/products/yuzuk14.jpg;;;2.46;14;"[{""stone_type"": ""Pırlanta"", ""carat"": ""0.65"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
1;YZK-180015;YZK-180015;Pırlanta Yüzük;;/images/products/yuzuk15.jpg;;;4.91;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""1.16"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
4;KPE-180002;KPE-180002;Pırlanta Küpe;;/images/products/kupe2.jpg;;;2.63;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""1.27"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
4;KPE-180003;KPE-180003;Pırlanta Küpe;;/images/products/kupe3.jpg;;;2.45;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""0.85"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
4;KPE-140004;KPE-140004;Pırlanta Küpe;;/images/products/kupe4.jpg;;;1.28;14;"[{""stone_type"": ""Pırlanta"", ""carat"": ""0.40"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
4;KPE-180005;KPE-180005;Pırlanta Küpe;;/images/products/kupe5.jpg;;;2.75;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""0.82"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
1;YZK-180016;YZK-180016;Pırlanta Yüzük;;/images/products/yuzuk16.jpg;;;3.55;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""1.08"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}, {""stone_type"": ""Pırlanta"", ""carat"": ""0.27"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
1;YZK-140017;YZK-140017;Pırlanta Yüzük;;/images/products/yuzuk17.jpg;;;4.25;14;"[{""stone_type"": ""Pırlanta"", ""carat"": ""1.77"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
